FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,20/12/2020 5:27,33.93911,67.709953,49681,2047,38613,9021,Afghanistan,127.6216729,4.120287434
,,,Albania,20/12/2020 5:27,41.1533,20.1683,52542,1074,27831,23637,Albania,1825.769685,2.044079022
,,,Algeria,20/12/2020 5:27,28.0339,1.6596,94781,2659,62869,29253,Algeria,216.1430915,2.805414587
,,,Andorra,20/12/2020 5:27,42.5063,1.5218,7560,80,6963,517,Andorra,9784.507863,1.058201058
,,,Angola,20/12/2020 5:27,-11.2027,17.8739,16626,386,9518,6722,Angola,50.58682051,2.321664862
,,,Antigua and Barbuda,20/12/2020 5:27,17.0608,-61.7964,152,5,141,6,Antigua and Barbuda,155.2160771,3.289473684
,,,Argentina,20/12/2020 5:27,-38.4161,-63.6167,1537169,41763,1362617,132789,Argentina,3401.134137,2.716877585
,,,Armenia,20/12/2020 5:27,40.0691,45.0382,153173,2616,131931,18626,Armenia,5169.115905,1.707872797
,,Australian Capital Territory,Australia,20/12/2020 5:27,-35.4735,149.0124,117,3,114,0,"Australian Capital Territory, Australia",27.33006307,2.564102564
,,New South Wales,Australia,20/12/2020 5:27,-33.8688,151.2093,4748,53,3192,1503,"New South Wales, Australia",58.48731215,1.116259478
,,Northern Territory,Australia,20/12/2020 5:27,-12.4634,130.8456,71,0,59,12,"Northern Territory, Australia",28.90879479,0
,,Queensland,Australia,20/12/2020 5:27,-27.4698,153.0251,1234,6,1214,14,"Queensland, Australia",24.12276415,0.486223663
,,South Australia,Australia,20/12/2020 5:27,-34.9285,138.6007,563,4,559,0,"South Australia, Australia",32.05237689,0.710479574
,,Tasmania,Australia,20/12/2020 5:27,-42.8821,147.3272,234,13,217,4,"Tasmania, Australia",43.69747899,5.555555556
,,Victoria,Australia,20/12/2020 5:27,-37.8136,144.9631,20356,820,19524,12,"Victoria, Australia",307.0332886,4.028296325
,,Western Australia,Australia,20/12/2020 5:27,-31.9505,115.8605,845,9,825,11,"Western Australia, Australia",32.12194937,1.065088757
,,,Austria,20/12/2020 5:27,47.5162,14.5501,337209,5209,300611,31389,Austria,3744.104193,1.544739316
,,,Azerbaijan,20/12/2020 5:27,40.1431,47.5769,199127,2175,135462,61490,Azerbaijan,1963.936908,1.092267749
,,,Bahamas,20/12/2020 5:27,25.025885,-78.035889,7733,164,6109,1460,Bahamas,1966.443567,2.120781068
,,,Bahrain,20/12/2020 5:27,26.0275,50.55,90062,349,88178,1535,Bahrain,5292.836141,0.387510826
,,,Bangladesh,20/12/2020 5:27,23.685,90.3563,499560,7242,435601,56717,Bangladesh,303.3346722,1.449675715
,,,Barbados,20/12/2020 5:27,13.1939,-59.5432,307,7,280,20,Barbados,106.8305431,2.280130293
,,,Belarus,20/12/2020 5:27,53.7098,27.9534,171579,1316,149353,20910,Belarus,1815.781261,0.76699363
